,_id,kind,overall,pid,product,source,屏幕显示,性价比,拍照效果,流畅度,电池与续航
196,59ec6f3ab735f761862b6582,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,5.0,3.0,4.0,4.0,5.0
197,59ec6f3ab735f761862b6583,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,3.0,5.0,4.0,4.0,5.0
198,59ec6f3ab735f761862b6584,Scores,4.2,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,4.0,4.0,5.0
199,59ec6f3ab735f761862b6585,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,3.0,3.0,4.0
200,59ec6f3bb735f761862b6586,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,5.0,4.0,3.0
201,59ec6f3bb735f761862b6587,Scores,3.6,616067_comment,iPhone 7 Plus,PConline,3.0,4.0,4.0,4.0,3.0
202,59ec6f3bb735f761862b6588,Scores,1.6,616067_comment,iPhone 7 Plus,PConline,1.0,2.0,2.0,2.0,1.0
203,59ec6f3bb735f761862b6589,Scores,4.6,616067_comment,iPhone 7 Plus,PConline,5.0,4.0,5.0,5.0,4.0
204,59ec6f3bb735f761862b658a,Scores,3.8,616067_comment,iPhone 7 Plus,PConline,4.0,4.0,4.0,4.0,3.0
205,59ec6f3bb735f761862b658b,Scores,1.4,616067_comment,iPhone 7 Plus,PConline,2.0,1.0,1.0,2.0,1.0
206,59ec6f3bb735f761862b658c,Scores,2.8,616067_comment,iPhone 7 Plus,PConline,3.0,1.0,3.0,5.0,2.0
207,59ec6f3bb735f761862b658d,Scores,2.6,616067_comment,iPhone 7 Plus,PConline,2.0,1.0,5.0,3.0,2.0
